Employee_ID,Age,Experience_Years,Department,Education,Gender,Performance_Rating,Training_Score,Attendance_Percentage,Projects_Completed,Salary,Promotion
1,59.0,1,Finance,PhD,Male,4.0,40.0,96.77,2,26966,No
2,49.0,16,HR,Masters,Female,4.0,49.0,76.95,12,71889,No
3,35.0,10,Finance,Masters,Male,3.0,82.0,73.69,13,54863,No
4,28.0,11,Marketing,PhD,Female,4.0,55.0,98.46,9,62154,No
5,41.0,18,Marketing,PhD,Male,1.0,85.0,77.79,2,74400,No
6,,6,Marketing,Masters,Male,3.0,47.0,79.56,5,47226,No
7,39.0,19,IT,PhD,Female,,95.0,74.07,13,80542,No
8,43.0,5,HR,Masters,Female,4.0,88.0,96.38,8,41523,Yes
9,31.0,0,IT,Masters,Female,3.0,,82.76,3,22763,No
10,31.0,16,Finance,PhD,Female,1.0,89.0,90.49,6,68291,No
11,44.0,10,IT,Bachelors,Female,5.0,51.0,92.47,4,57488,No
12,56.0,17,Finance,PhD,Male,5.0,64.0,73.67,11,77558,Yes
13,44.0,16,Finance,Bachelors,Male,1.0,56.0,77.35,7,69690,No
14,,6,Sales,Masters,Female,1.0,99.0,93.94,10,41121,No
15,42.0,16,Marketing,Masters,Male,5.0,65.0,74.53,14,75276,Yes
16,,19,Finance,Bachelors,Male,3.0,85.0,91.76,13,82439,No
17,44.0,8,Sales,,Male,5.0,87.0,97.64,3,50103,Yes
18,50.0,16,Marketing,Bachelors,Female,1.0,,84.93,6,72520,No
19,58.0,19,Finance,Bachelors,Male,4.0,80.0,89.67,12,89611,Yes
20,22.0,7,Finance,,Male,2.0,75.0,92.2,10,45409,No
21,41.0,16,IT,Bachelors,Male,4.0,96.0,93.8,9,80670,Yes
22,53.0,6,IT,PhD,Female,4.0,62.0,75.8,11,48869,Yes
23,32.0,0,Marketing,PhD,Male,,82.0,62.05,10,19956,No
24,42.0,12,Finance,Masters,Male,5.0,45.0,76.08,1,68710,No
25,45.0,18,HR,Masters,Female,3.0,86.0,86.95,3,81017,No
26,47.0,18,IT,Bachelors,Female,4.0,44.0,78.01,2,86574,No
27,48.0,16,Marketing,Bachelors,Male,5.0,82.0,89.96,8,76384,Yes
28,36.0,12,Finance,Bachelors,Male,3.0,64.0,74.28,7,66761,No
29,35.0,15,Finance,Bachelors,Female,4.0,57.0,85.39,2,68028,No
30,23.0,7,HR,PhD,Female,3.0,52.0,67.46,6,50897,No
31,57.0,18,Marketing,PhD,Female,5.0,,89.97,3,88212,Yes
32,27.0,17,Finance,Masters,Female,2.0,53.0,81.83,8,79638,No
33,41.0,0,IT,,Female,,67.0,68.16,10,32756,No
34,,13,HR,Bachelors,Female,1.0,57.0,71.68,13,62948,No
35,59.0,18,Marketing,Masters,Female,3.0,98.0,89.94,3,80755,No
36,38.0,14,HR,,Male,2.0,99.0,79.3,10,64602,No
37,24.0,17,IT,Bachelors,Female,3.0,96.0,68.64,14,77062,No
38,45.0,1,Marketing,Bachelors,Female,3.0,67.0,98.69,9,32071,No
39,34.0,16,HR,Bachelors,Male,4.0,,88.61,1,78244,Yes
40,29.0,17,Sales,Bachelors,Female,,95.0,98.29,5,74372,No
41,46.0,5,IT,Masters,Female,3.0,,77.08,3,43105,No
42,22.0,18,IT,Bachelors,Male,5.0,71.0,79.0,6,82581,Yes
43,40.0,3,IT,Masters,Female,5.0,86.0,95.92,10,36762,No
44,48.0,0,Sales,Bachelors,Male,4.0,48.0,81.0,2,23572,No
45,27.0,7,Sales,PhD,Male,1.0,79.0,88.29,9,45705,No
46,,6,Finance,,Male,1.0,71.0,70.09,6,35614,No
47,55.0,2,HR,PhD,Male,5.0,59.0,77.87,7,35050,No
48,34.0,9,Finance,PhD,Female,2.0,67.0,64.94,5,46325,No
49,37.0,9,HR,Masters,Male,,,68.24,9,53740,Yes
50,,18,Sales,,Male,4.0,43.0,60.04,1,77358,No
51,24.0,13,Sales,Bachelors,Female,5.0,85.0,61.57,5,67777,Yes
52,22.0,1,Finance,PhD,Male,5.0,96.0,99.09,11,33906,No
53,26.0,0,Marketing,Masters,Male,2.0,73.0,69.69,10,20721,No
54,24.0,17,Finance,Bachelors,Male,,87.0,86.53,11,71349,No
55,49.0,6,HR,Bachelors,Male,1.0,42.0,93.56,6,38696,No
56,38.0,7,Finance,Masters,Female,4.0,65.0,82.03,7,47896,Yes
57,46.0,0,IT,PhD,Male,4.0,47.0,66.13,12,27260,No
58,,2,HR,Bachelors,Female,5.0,45.0,89.12,4,40788,No
59,30.0,7,HR,PhD,Female,1.0,,84.01,12,47819,No
60,56.0,14,Marketing,PhD,Male,4.0,63.0,89.25,13,71941,Yes
61,34.0,4,Sales,PhD,Male,1.0,87.0,90.79,1,32808,No
62,51.0,2,HR,Bachelors,Male,1.0,78.0,99.02,11,28246,No
63,35.0,18,Sales,PhD,Male,5.0,69.0,82.94,8,87384,Yes
